emotion,label
gembira,+
juang,+
senang,+
terpesona,+
berterimakasih,+
optimis,+
menyenangkan,+
antusias,+
takjub,+
kasih sayang ,+
bangga,+
kagum,+
asik,+
bersuka cita,+
bersukaria,+
bahagia,+
senang,+
girang,+
gembira,+
ceria,+
riang gembira,+
damai,+
aman damai,+
tenteram,+
lega sekali,+
kepuasan,+
puas,+
berani,+
berbesar hati,+
besar hati,+
rendah hati,+
sabar,+
tabah,+
kepingin,+
hasrat,+
berahi,+
terangsang,+
rangsang,+
bergairah,+
gairah,+
demen,+
suka,+
terkesiap,+
kesiap,+
terbuai,+
buai,+
terpesona,+
pesona,+
terpikat,+
pikat,+
tertarik,+
perasaan,+
getar hati,+
setia,+
edan,+
kesmaran,+
kangen,+
rindu,+
kemesraan,+
asmara,+
mesra,+
cinta,+
kasih,+
sayang,+
percaya diri,+
berani,+
terjamin,+
tertentu,+
siap,+
berhasil,+
berharga,+
didorong,+
tenang,+
aman,+
santai,+
terhibur,+
dinamis,+
gigih,+
kuat,+
tentu,+
tertentu,+
unik,+
aman,+
diberdayakan,+
ambisius,+
percaya diri,+
percaya,+
mencolok,+
ditentukan,+
diperkuat,+
termotivasi,+
berfokus,+
terinspirasi,+
kreatif,+
sehat,+
kecil hati,-
malu,-
simpati,-
tersentuh,-
keharuan,-
haru,-
kasian,-
murung,-
pilu,-
sendu,-
sedih,-
duka,-
dukacita,-
sakit hati,-
pedih hati,-
patah hati,-
remuk hati,-
frustasi,-
putus asa,-
putus harapan,-
berat hati,-
penyesal,-
sesal,-
murung,-
berat,-
hancur,-
jijik,-
kecewa,-
menangis,-
cemburu,-
dikhianati,-
terpencil,-
syok,-
mengecewakan,-
luka,-
gangguan,-
rusak,-
dikritik,-
disalahgunakan,-
dihukum,-
ditolak,-
terlupakan,-
sakit hati,-
acuh,-
bosan,-
membosankan,-
lelah,-
tidak berdaya,-
lesu,-
astaga,-
bosan,-
jenuh,-
cemburu,-
curiga,-
tinggi hati,-
iri,-
dengki,-
berdengki,-
gemas,-
gregetan,-
ngambek,-
histeris,-
senewen,-
emosi,-
kesal,-
sebal,-
mangkel,-
dongkol,-
jengkel,-
panas hati,-
kalap,-
murka,-
naik darah,-
naik pitam,-
marah,-
berang,-
geram,-
gentar,-
takut,-
berdebar,-
kebat kebit,-
kalut,-
gusar,-
kecemasan,-
cemas,-
kawatir,-
waswas,-
bimbang,-
bingung,-
galau,-
gundah,-
gelisah,-
risau,-
kacau,-
murung,-
